Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor;
Rio Grande do Norte;Natal;7 TABELIONATO DE NOTAS, PROTESTOS DE TITULOS E REGISTRO DE IMOVEIS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Nísia Floresta;SERVIÇO UNICO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Nova Cruz;SEGUNDO OFICIO DE NOTAS DE NOVA CRUZ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Olho d’Água do Borges;CARTORIO UNICO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Ouro Branco;CARTORIO UNICO DO JUDICIARIO DE OURO BRANCO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Paraú;PARAU CARTORIO UNICO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Parazinho;OFICIO UNICO EXTRAJUDICIAL DE PARAZINHO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Parelhas;UNICO OFICIO DE NOTAS DA COMARCA DE PARELHAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Parnamirim;2 TABELIONATO DE NOTAS, PROTESTOS E OFICIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Passa e Fica;OFICIO UNICO DE PASSA E FICA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Passagem;CARTORIO UNICO DE PASSAGEM;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Patu;CARTORIO UNICO DE PATU;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pau dos Ferros;2º OFICIO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pedra Grande;TABELIONATO UNICO DE NOTAS DE PEDRA GRANDE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pedra Preta;OFICIO UNICO NOTARIAL E REGISTRAL DE PEDRA PRETA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pedro Avelino;SERVENTIA UNICA EXTRAJUDICIAL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pedro Velho;TABELIONATO DE PROTESTOS - PEDRO VELHO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pendências;OFICIO UNICO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Poço Branco;CARTORIO REJANE MARIA MARTINS DANTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Portalegre;CARTORIO UNICO DE PORTALEGRE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Porto do Mangue;OFICIO UNICO DE PORTO DO MANGUE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Pureza;OFICIO UNICO DO MUNICIPIO DE PUREZA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Rafael Fernandes;CARTORIO UNICO DE RAFAEL FERNANDES;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Rafael Godeiro;UNICO OFICIO DE NOTAS E REGISTROS GERAL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Riacho da Cruz;CARTORIO FRANCISCA LUCIA DE PAIVA SOARES OLIVEIRA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Riacho de Santana;CARTORIO UNICO OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Riachuelo;OFICIO UNICO DE RIACHUELO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Rio do Fogo;OFICIO UNICO DE RIO DO FOGO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Rodolfo Fernandes;CARTORIO UNICO DE RODOLFO FERNANDES;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Ruy Barbosa;OFICIO UNICO DE RUY BARBOSA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Santa Cruz;2º OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Santa Maria;CARTORIO UNICO DE SANTA MARIA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Santana do Matos;SERVIÇO NOTARIAL E REGISTRAL ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Santana do Seridó;OFICIO UNICO DE SANTANA DO SERIDO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Santo Antônio;2º OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Bento do Norte;OFICIO UNICO DE NOTAS E REGISTROS DA COMARCA DE SÃO BENTO DO NORTE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Bento do Trairí;CARTORIO UNICO DE SÃO BENTO DO TRAIRI;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Francisco do Oeste;CARTORIO UNICO DE SÃO FRNCISCO DO OESTE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Gonçalo do Amarante;2º TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São João do Sabugi;OFICIO UNICO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São José de Mipibu;2º OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São José do Campestre;OFICIO UNICO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São José do Seridó;CARTORIO UNICO DE SÃO JOSE DO SERIDO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Miguel;2 TABELIONATO DE NOTAS E OFICIO DE REGISTRO CIVIL ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Miguel do Gostoso;OFICIO UNICO DE SÃO MIGUEL DO GOSTOSO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Paulo do Potengi;SEGUNDO OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Pedro;OFICIO UNICO DE SÃO PEDRO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Rafael;OFICIO UNICO DE SÃO RAFAEL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Tomé;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;São Vicente;CARTORIO UNICO DE SÃO VICENTE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Senador Elói de Souza;OFICIO UNICO DE SENADOR ELOI DE SOUZA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Senador Georgino Avelino;OFICIO UNICO DE SENADOR GEORGINO AVELINO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Serra de São Bento;OFICIO UNICO DE SERRA DE SÃO BENTO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Serra do Mel;OFICIO UNICO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Serra Negra do Norte;OFICIO UNICO DA COMARCA DE SERRA NEGRA DO NORTE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Serrinha;OFICIO UNICO DE SERRINHA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Serrinha dos Pintos;CARTORIO UNICO DE SERRINHA DOS PINTOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Severiano Melo;OFICIO UNICO DE SEVERIANO MELO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Sítio Novo;CARTORIO CARLOS FREDERICO DA SILVA MARIZ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Taboleiro Grande;CARTORIO UNICO OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Taipu;SERVIÇO UNICO NOTARIAL E REGISTRAL DE TAIPU;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Tangará;CARTORIO UNICO DE TANGARA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Tenente Ananias;CARTORIO UNICO DE NOTAS E REGISTROS PUBLICOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Tenente Laurentino Cruz;CARTORIO UNICO DE TENENTE LAURENTINO CRUZ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Tibau;TERMO DO OFICIO UNICO DE TIBAU;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Tibau do Sul;CARTORIO UNICO DE TAIBAU DO SUL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Timbaúba dos Batistas;OFICIO UNICO DE TIMBAUBA DOS BATISTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Touros;OFICIO UNICO DE TOUROS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Triunfo Potiguar;OFICIO UNICO DE TRIUNFO POTIGUAR;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Umarizal;UNICO OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Upanema;OFICIO UNICO DA COMARCA DE UPANEMA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Várzea;CARTORIO UNICO DE VARZEA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Venha-Ver;CARTORIO UNICO DE VENHA VER;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Vera Cruz;CARTORIO UNICO DE VERA CRUZ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Viçosa;CARTORIO UNICO DE VIÇOSA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Vila Flor;OFICIO UNICO DO MUNICIPIO DE VILA FLOR;Certidão de Protesto;E-mail;100;
